AccountOrganizationId,AccountOrganizationNumber,CostCenterDescription,Inactive
1,1100,Administration,0
2,1200,Administration,0
3,2100,Security,0
4,2136,Security,0
5,2137,Security,0
6,2146,Security,0
7,2156,Security,0
8,2160,Security,0
9,2161,Security,0
10,2166,Security,0
11,2167,Security,0
12,2177,Security,0
13,2186,Security,0
14,2210,Security,0
15,2211,Security,0
16,2300,Security,0
17,2400,Security,0
18,2600,Security,0
19,2800,Security,0
20,2900,Security,0
21,3100,Security,0
22,3101,Security,0
23,3150,Security,0
24,3200,Security,0
25,3300,Security,0
26,3400,Security,0
27,3500,Security,0
28,4100,Security,0
29,4200,Security,0
30,4400,Security,0
31,5401,Security,0
32,7777,Canteen,0
33,402012100,,0
34,402202150,,0
35,405101100,,0
36,405203100,,0
37,406101100,,0
38,406203150,,0
39,409202100,,0
40,414202300,,0
41,415801700,,0
42,421011200,,0
43,482034100,,0
44,4001011001,,0
45,4001011003,,0
46,4002011010,,0
47,4002011011,,0
48,4002011012,,0
49,4002011013,,0
50,4002011014,,0
51,4002011015,,0
52,4002011016,,0
53,4002011017,,0
54,4002011201,,0
55,4002011202,,0
56,4003011080,,0
57,4003012000,,0
58,4004011090,,0
59,4011011200,,0
60,4021011100,,0
61,4021011110,,0
62,4021011120,,0
63,4021011200,,0
64,4021011201,,0
65,4021011202,,0
66,4022011200,,0
67,4022012110,,0
68,4022012112,,0
69,4022012113,,0
70,4022012114,,0
71,4022012115,,0
72,4022012116,,0
73,4022012120,,0
74,4022012125,,0
75,4022012130,,0
76,4022012135,,0
77,4022012140,,0
78,4022012142,,0
79,4022012145,,0
80,4022012150,,0
81,4022012151,,0
82,4022012155,,0
83,4022012162,,0
84,4022012165,,0
85,4022012168,,0
86,4022012171,,0
87,4022012175,,0
88,4022012180,,0
89,4022012185,,0
90,4022012190,,0
91,4022012195,,0
92,4022012200,,0
93,4022012210,,0
94,4022012220,,0
95,4022012300,,0
96,4022012302,,0
97,4022012305,,0
98,4022012310,,0
99,4022012320,,0
100,4022012325,,0
101,4022012400,,0
102,4022012500,,0
103,4022012600,,0
104,4022012645,,0
105,4022012650,,0
106,4022012655,,0
107,4022012800,,0
108,4022023100,,0
109,4022023150,,0
110,4022023160,,0
111,4022023200,,0
112,4022023300,,0
113,4022034100,,0
114,4022034120,,0
115,4022034200,,0
116,4051011100,,0
117,4051011200,,0
118,4051011201,,0
119,4052012100,,0
120,4052012200,,0
121,4052012300,,0
122,4052012400,,0
123,4052012500,,0
124,4052012600,,0
125,4052012800,,0
126,4052023100,,0
127,4052023150,,0
128,4052023200,,0
129,4052034100,,0
130,4052034200,,0
131,4061011100,,0
132,4061011200,,0
133,4061011202,,0
134,4062012100,,0
135,4062012137,,0
136,4062012200,,0
137,4062012300,,0
138,4062012400,,0
139,4062012500,,0
140,4062012600,,0
141,4062023100,,0
142,4062023101,,0
143,4062023150,,0
144,4062023200,,0
145,4062032300,,0
146,4062034100,,0
147,4062034200,,0
148,4081011100,,0
149,4081011200,,0
150,4081011201,,0
151,4081011202,,0
152,4082012100,,0
153,4082012200,,0
154,4082012300,,0
155,4082012400,,0
156,4082012500,,0
157,4082012600,,0
158,4082012800,,0
159,4082023200,,0
160,4082023300,,0
161,4082034100,,0
162,4082034200,,0
163,4091011100,,0
164,4091011200,,0
165,4091011201,,0
166,4091011202,,0
167,4092012100,,0
168,4092012136,,0
169,4092012137,,0
170,4092012146,,0
171,4092012147,,0
172,4092012156,,0
173,4092012166,,0
174,4092012167,,0
175,4092012168,,0
176,4092012186,,0
177,4092012200,,0
178,4092012210,,0
179,4092012300,,0
180,4092012320,,0
181,4092012400,,0
182,4092012600,,0
183,4092012900,,0
184,4092023150,,0
185,4092023200,,0
186,4092023300,,0
187,4092023400,,0
188,4092034100,,0
189,4092034200,,0
190,4131011025,,0
191,4131011100,,0
192,4131011120,,0
193,4131011200,,0
194,4131011201,,0
195,4132011120,,0
196,4132012112,,0
197,4132012115,,0
198,4132012116,,0
199,4132012118,,0
200,4132012120,,0
201,4132012123,,0
202,4132012126,,0
203,4132012127,,0
204,4132012128,,0
205,4132012210,,0
206,4132012220,,0
207,4132012300,,0
208,4132012320,,0
209,4132012414,,0
210,4132012600,,0
211,4132013160,,0
212,4132014100,,0
213,4132022300,,0
214,4132023100,,0
215,4132023150,,0
216,4132023200,,0
217,4132023300,,0
218,4132033410,,0
219,4132034100,,0
220,4132034200,,0
221,4132045100,,0
222,4132045110,,0
223,4132045120,,0
224,4141011200,,0
225,4141011201,,0
226,4142012100,,0
227,4142012200,,0
228,4142012300,,0
229,4142012400,,0
230,4142012600,,0
231,4142023300,,0
232,4142034100,,0
233,4142034200,,0
234,4151011105,,0
235,4151011201,,0
236,4151011202,,0
237,4158017001,,0
238,4158017002,,0
239,4158017003,,0
240,4158017004,,0
241,4161011100,,0
242,4161011200,,0
243,4161011201,,0
244,4162012100,,0
245,4162012300,,0
246,4162012400,,0
247,4162012600,,0
248,4162012800,,0
249,4162034100,,0
250,4162034200,,0
251,5092012136,,0
252,5092012400,,0
253,40220123210,,0
254,40221011110,,0
255,40920126000,,0
256,41132034100,,0
257,41620121000,,0
258,47132023300,,0
259,4.02E+16,,0
260,402V017777,,0
261,402W018888,,0
262,4051CCCCCC,,0
263,405V017777,,0
264,405V0177777,,0
265,406V017777,,0
266,408V017777,,0
267,4091CCCCCC,,0
268,409V017777,,0
269,409V107777,,0
270,413V017777,,0
271,4141CCCCCC,,0
272,414V017777,,0
273,416V017777,,0
274,506V17777,,0
275,S0001.2425,,0
276,S0003.2425,,0
277,S0004.2425,,0
278,S0005.2425,,0
279,S0006.2324,,0
280,S0006.2325,,0
281,S0007.2021,,0
282,S0008.2426,,0
283,S0009.2525,,0
284,S0010.2525,,0
285,S0015.2226,,0
286,S0016.2223,,0
287,U0005.1920,,0
288,U0008.2125,,0
289,U0009.2126,,0
290,U0010.2125,,0
291,U0011.2226,,0