ProgramId,ProgramCode,ProgramName,ProgramDescription,Inactive
1,"10",,,0
2,"100",,,0
3,"800",,,0
4,"1000",,,0
5,"2000",,,0
6,"3000",,,0
7,"4000",,,0
8,"4001",,,0
9,"4002",,,0
10,"4003",,,0
11,"4004",,,0
12,"4021",,,0
13,"4022",,,0
14,"4051",,,0
15,"4052",,,0
16,"4061",,,0
17,"4062",,,0
18,"4081",,,0
19,"4082",,,0
20,"4087",,,0
21,"4091",,,0
22,"4092",,,0
23,"4131",,,0
24,"4132",,,0
25,"4141",,,0
26,"4142",,,0
27,"4151",,,0
28,"4158",,,0
29,"4161",,,0
30,"4162",,,0
31,"4511",,,0
32,"4512",,,0
33,"4513",,,0
34,"4514",,,0
35,"5000",,,0
36,"7000",,,0
37,"8000",,,0
38,"10A0",,,0
39,"10A1",,,0
40,"10A2",,,0
41,"10B1",,,0
42,"10B2",,,0
43,"10C0",,,0
44,"10D0",,,0
45,"402V",,,0
46,"402W",,,0
47,"405V",,,0
48,"406V",,,0
49,"408V",,,0
50,"409V",,,0
51,"413V",,,0
52,"414V",,,0
53,"416V",,,0
54,"A000",,,0
55,"A010",,,0
56,"P25",,,0
57,"200",,,1
58,"AV00",,,1
59,"V00",,,1
60,"V000",,,1